,Protein,Subgraph,Degree,Information,Betweenness,Network,isoelectric point,negatively charged particle,positively charged particle,absorbance,Pred_Cluster
226,YBR039W,463000000000000.0,23,3.6126745000000002,11730.15,2.1861472,9.33722,33,42,0.39766999999999997,-1
227,YCR079W,461000000000000.0,30,3.7397115,42906.7,2.070348,6.565119999999999,53,51,1.16359,-1
228,YOR080W,460000000000000.0,45,3.8928665999999996,67467.3,2.7334907000000004,9.12457,81,103,0.8011699999999999,-1
229,YHR179W,453000000000000.0,22,3.5892177000000003,6836.1772,1.6269841,6.13019,52,48,1.63963,-1
230,YDL143W,448000000000000.0,25,3.6550762999999997,7512.35,0.13257575,8.03766,69,71,0.21414,-1
231,YKL166C,437000000000000.0,27,3.6919663000000003,26744.389,3.3874328,5.92596,52,45,1.28957,-1
232,YNL037C,435000000000000.0,20,3.5367074,4939.5435,1.3782895,8.98627,40,44,0.58286,-1
233,YLR222C,435000000000000.0,29,3.7248504000000002,41957.215,2.228002,5.22369,109,82,1.20745,-1
234,YPL164C,431000000000000.0,15,3.359922,3274.7632,0.6298701,9.03705,81,99,0.9174399999999999,-1
235,YLR442C,427000000000000.0,32,3.7673379999999996,18873.09,1.803041,6.02118,145,136,0.77349,-1
236,YMR055C,427000000000000.0,19,3.5070434,19567.316000000003,2.0982144,8.79547,27,32,1.0454700000000001,-1
237,YLR304C,425000000000000.0,24,3.6345142999999998,15875.568000000001,0.44544512,8.17169,94,97,1.05597,-1
238,YBR223C,420000000000000.0,15,3.359922,2449.206,0.55714285,8.42499,64,69,1.1198,-1
239,YDL213C,419000000000000.0,64,3.9915602,134981.28,7.449561599999999,10.082460000000001,33,55,0.0,-1
240,YHR183W,418000000000000.0,23,3.6126745000000002,8275.89,1.6323786,6.18829,58,54,1.2555399999999999,-1
241,YCR057C,412000000000000.0,64,3.9915602,128561.3,20.361727,4.94,136,96,1.06538,-1
242,YBR114W,409000000000000.0,36,3.8142917,50409.49,0.8689935,8.53766,108,116,0.92181,-1
243,YGR052W,404000000000000.0,39,3.8440123,39873.227,4.1099644,6.15424,45,41,1.6618700000000002,-1
