Subgraph,Degree,Eigenvector,Information,LAC,Betweenness,Closeness,Network
3.70E+14,21,0.026261395,3.5638938,2.2857144,18380.756,0.022670507,2.7226892
3.69E+14,25,0.026222045,3.6550763,1.36,15299.751,0.022630708,1.7254902
3.66E+14,19,0.026143694,3.5070434,0.94736844,13548.539,0.02260479,1
3.66E+14,19,0.026137935,3.5070434,0.21052632,24518.852,0.02256722,0.9444444
3.66E+14,26,0.02611896,3.6740646,1.6153846,20868.258,0.02262739,1.8378342
3.63E+14,38,0.02601506,3.8346567,1.6315789,35665.582,0.022646511,4.0806932
3.61E+14,49,0.025943816,3.9192991,4.244898,85063.26,0.02272839,10.664062
3.59E+14,29,0.02588792,3.7248504,2.8965516,18155.934,0.02262357,4.290336
3.58E+14,17,0.025856577,3.4401622,2,3100.7031,0.022581732,2.3125
3.56E+14,43,0.025755972,3.8779418,1.5813954,90120.414,0.022662334,5.5348287
3.51E+14,28,0.02558486,3.7088745,1.9285715,32194.49,0.02261513,2.8062272
3.50E+14,44,0.025545722,3.885575,3.590909,69459.53,0.02266304,10.184402
3.49E+14,152,0.025531167,4.137511,1.4342105,869709.1,0.022786465,15.305178
3.45E+14,23,0.025368858,3.6126745,0.08695652,5610.4956,0.022605993,0.29545453
3.45E+14,34,0.025354307,3.7920728,1.0588236,66890.734,0.022668287,2.126769
3.45E+14,37,0.025350304,3.824644,2.8108108,87938.305,0.02271308,3.6459086
3.42E+14,21,0.025245225,3.5638938,0.3809524,24644.92,0.022575425,0.4
3.39E+14,34,0.025147533,3.7920728,1.7647059,23531.156,0.022664351,2.0515735
3.37E+14,28,0.025074383,3.7088745,6.857143,12622.767,0.022624072,7.6812606
3.36E+14,32,0.025027245,3.767338,1,41866.3,0.022667682,1.2404203
3.35E+14,24,0.024996981,3.6345143,0.75,23979.742,0.022634331,0.7826087
3.31E+14,24,0.024837172,3.6345143,1,37843.684,0.022651145,4.2719116
3.27E+14,14,0.024690326,3.313559,3.7142856,2619.1335,0.022625078,4
3.23E+14,25,0.024543928,3.6550763,3.68,14671.708,0.0226293,4.641575
3.16E+14,49,0.024289837,3.9192991,2.9795918,58354.535,0.022660216,8.670735
3.12E+14,58,0.024110286,3.9667227,2.8965516,91897.46,0.022662839,7.503472
3.11E+14,27,0.024099972,3.6919663,1.1851852,19288.643,0.022628395,1.3437346
3.10E+14,16,0.024032308,3.4018607,0.5,1269.5317,0.022574125,0.53333336
3.08E+14,15,0.023981929,3.359922,0.8,7878.444,0.022604287,0.85714287
3.07E+14,37,0.02392714,3.824644,10.810811,21505.033,0.02260218,16.595184
3.06E+14,17,0.023878044,3.4401622,0.9411765,9922.147,0.022587342,1
3.01E+14,21,0.02368903,3.5638938,0.5714286,32531.785,0.022649936,0.6
3.00E+14,29,0.023659704,3.7248504,8.965517,9667.694,0.022582334,10.399409
2.96E+14,60,0.023481127,3.975493,3.5666666,99716.555,0.02267596,10.296764
2.94E+14,29,0.023436233,3.7248504,6.137931,24939.115,0.022621961,7.176674
2.93E+14,28,0.023367701,3.7088745,2.2857144,20609.291,0.022630407,3.1161346
2.91E+14,35,0.023302574,3.80336,12.171429,14641.459,0.022589646,16.377598
2.91E+14,44,0.023289487,3.885575,7.681818,30075.512,0.022675354,12.608556
2.89E+14,28,0.023226291,3.7088745,0.5714286,43715.336,0.022668086,1.0302052
2.89E+14,35,0.023212112,3.80336,1.1428572,27537.2,0.022620857,1.4083661
2.86E+14,25,0.023106532,3.6550763,2.32,26393.219,0.022662133,3.171459
2.85E+14,59,0.023046931,3.9710984,2.338983,160811.98,0.02274189,6.9578485
2.85E+14,72,0.02304286,4.018588,2.9166667,99655.68,0.022691622,12.679095
2.78E+14,22,0.022786014,3.5892177,0.6363636,14200.03,0.022584137,0.6666667
2.78E+14,20,0.022781422,3.5367074,1.2,12417.79,0.022589546,1.6151316
2.75E+14,26,0.02265945,3.674065,11.692307,8091.771,0.022560023,13.484603
2.75E+14,30,0.02264648,3.7397115,1.5333333,33566.688,0.022632519,2.0805116
2.74E+14,32,0.02260747,3.767338,3.1875,54831.574,0.022687579,4.5230613
2.74E+14,71,0.022605093,4.015415,1.2676057,190672.9,0.022687376,6.5240254
2.74E+14,20,0.02260203,3.5367074,0.8,24582.006,0.022651346,0.84210527
2.74E+14,18,0.02260141,3.4751234,1,13283.185,0.022602582,1.25
2.70E+14,29,0.022449126,3.7248504,6.137931,24100.605,0.022654774,7.0145817
2.70E+14,24,0.022431087,3.6345143,1.0833334,16792.72,0.022611113,1.5767612
2.66E+14,29,0.022280844,3.7248504,2.275862,45175.63,0.02265709,5.3312283
2.66E+14,12,0.02227363,3.2047052,0.5,5339.8247,0.022541646,0.54545456
2.62E+14,32,0.022103129,3.767338,1.0625,32960,0.022592453,1.8774374
2.58E+14,11,0.0219249,3.140127,1.6363636,561.8307,0.022567522,1.8
2.55E+14,17,0.021810727,3.4401622,1.2941177,11380.627,0.022629099,2.3444805
2.53E+14,29,0.021711312,3.7248504,11.724138,9421.1875,0.022599172,13.276671
2.52E+14,28,0.021683073,3.7088745,0.64285713,65395.16,0.022649331,0.78161377
2.52E+14,21,0.021661405,3.5638938,1.3333334,12158.212,0.02260218,1.7020202
2.48E+14,23,0.021523513,3.6126745,4.0869565,11288.156,0.02261061,4.907738
2.48E+14,96,0.021509564,4.073985,0.22916667,515188.34,0.022726258,0.9495437
2.47E+14,24,0.021468759,3.6345143,0.9166667,7124.748,0.022604087,1.0236034
2.47E+14,18,0.021454342,3.4751234,0.7777778,5745.644,0.022599773,0.8613445
2.46E+14,23,0.021438293,3.6126745,0.3478261,29714.615,0.022603584,0.9357864
2.46E+14,18,0.02141327,3.4751234,2.2222223,12379.188,0.022587443,2.3836458
2.46E+14,22,0.021402352,3.5892177,1,16317.625,0.022685658,1.4218975
