Protein,Priority Fun_GO
YLR446W,0.143518519
YBL008W,0.143518519
YDL146W,0.143518519
YDL030W,0.143518519
YDR080W,0.143518519
YFL009W,0.143518519
YPR032W,0.143518519
YPL236C,0.143518519
YGL213C,0.143518519
YMR270C,0.143518519
YLR024C,0.143518519
YLR103C,0.143518519
YOL038W,0.143518519
YMR056C,0.143518519
YGR186W,0.143518519
YAL024C,0.143518519
YDR101C,0.143518519
YER122C,0.143518519
YBR089C-A,0.143518519
YCL048W,0.143518519
YBL003C,0.143518519
YML099C,0.143518519
YEL048C,0.143518519
YNL288W,0.143518519
YGR074W,0.143518519
YLR277C,0.143518519
YPR072W,0.143518519
YBL027W,0.143518519
YGR241C,0.143518519
YKL117W,0.143518519
YHR026W,0.143518519
YOR142W,0.143518519
YDR293C,0.143518519
YML111W,0.143518519
YJR092W,0.143518519
YBR249C,0.143518519
YOR176W,0.143518519
YOL083W,0.143518519
YOR380W,0.143518519
YBR073W,0.143518519
YER033C,0.143518519
YKR025W,0.143518519
YPL161C,0.143518519
YEL021W,0.143518519
YDR299W,0.143518519
YPL032C,0.143518519
YDR416W,0.143518519
YAL007C,0.143518519
YBL025W,0.143518519
YKL126W,0.143518519
YDR430C,0.143518519
YJL084C,0.143518519
YPR008W,0.143518519
YDL079C,0.143518519
YDL105W,0.143518519
YPR049C,0.143518519
YGR233C,0.143518519
YDL130W,0.143518519
YNL042W,0.143518519
YBL034C,0.143518519
YHL048W,0.143518519
YOR122C,0.143518519
YPR010C-A,0.143518519
YJR105W,0.143518519
YDL137W,0.143518519
YNL078W,0.143518519
YML007W,0.143518519
YBR101C,0.143518519
YBR193C,0.143518519
YBR050C,0.143518519
YDL153C,0.143518519
YKL143W,0.143518519
YBR267W,0.143518519
YGL246C,0.143518519
YNR003C,0.143518519
YGR193C,0.143518519
YDR404C,0.143518519
YBR245C,0.143518519
YHR039C-A,0.143518519
YAL018C,0.143518519
YPR081C,0.143518519
YOR042W,0.143518519
YBR251W,0.143518519
YGR005C,0.143518519
YOL091W,0.143518519
YGR156W,0.143518519
YER008C,0.143518519
YHR185C,0.143518519
YPR023C,0.143518519
YBL093C,0.143518519
YMR215W,0.143518519
YDR271C,0.143518519
YGR180C,0.143518519
YKL054C,0.143518519
YER027C,0.143518519
YER003C,0.143518519
YNL124W,0.143518519
YNL015W,0.143518519
